Название;Цена;Наличие
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 8GB DDR 1000GB HDD + 512GB SSD AMD Radeon 530 2GB FHD серебристый;56620 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 12GB DDR 512GB SSD Intel HD Graphics 620 HD серебристый;60960 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 12GB DDR4 1000GB HDD Nvidia Geforce MX330 2GB HD серый;73980 сом;Уточняйте наличие
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 12GB DDR 1000GB HDD + 128GB SSD AMD Radeon 530 2GB FHD серебристый;54010 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 12GB DDR4 1000GB HDD + 128GB SSD Nvidia Geforce MX330 2GB HD серый;76240 сом;Уточняйте наличие
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 12GB DDR 1000GB HDD + 256GB SSD AMD Radeon 530 2GB FHD серебристый;55750 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 4GB DDR 128GB SSD Intel HD Graphics 620 HD серебристый;51400 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 12GB DDR4 1000GB HDD + 256GB SSD Nvidia Geforce MX330 2GB HD серый;77200 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15AST AMD A6-9225 8GB DDR4 1000GB HDD + 256GB SSD AMD Radeon R7 2GB HD черный;45750 сом;Уточняйте наличие
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 12GB DDR 1000GB HDD + 512GB SSD AMD Radeon 530 2GB FHD серебристый;58360 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 4GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 HD серебристый;54010 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 12GB DDR4 1000GB HDD + 512GB SSD Nvidia Geforce MX330 2GB HD серый;82220 сом;Уточняйте наличие
Ноутбук Asus X509J Intel Core i5-1035G1 4GB DDR4 256GB SSD NVIDIA MX330 FHD W10;61130 сом;Уточняйте наличие
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 16GB DDR 1000GB HDD + 128GB SSD AMD Radeon 530 2GB FHD серебристый;55750 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 4GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD серебристый;55320 сом;Уточняйте наличие
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 16GB DDR 1000GB HDD + 256GB SSD AMD Radeon 530 2GB FHD серебристый;57490 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 4GB DDR 1000GB HDD Intel HD Graphics 620 HD серебристый;50970 сом;Уточняйте наличие
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 16GB DDR 1000GB HDD + 512GB SSD AMD Radeon 530 2GB FHD серебристый;60100 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 4GB DDR 256GB SSD Intel HD Graphics 620 HD серебристый;52710 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 4GB DDR4 240GB SSD DVDRW FHD DOS Silver;43310 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 4GB DDR 500GB HDD Intel HD Graphics 620 HD серебристый;50540 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 6GB DDR4 240GB SSD DVDRW FHD DOS Silver;44360 сом;Уточняйте наличие
Ноутбук Apple MacBook Pro 13 (Late 2020) Apple M1 8/512GB серебристый;144340 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 8GB DDR4 240GB SSD DVDRW FHD DOS Silver;46970 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 8GB DDR 128GB SSD Intel HD Graphics 620 HD серебристый;53580 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 4GB DDR4 1000GB HDD + 240GB SSD FHD DOS Silver;47400 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 8GB DDR4 1000GB HDD + 240GB SSD FHD DOS Silver;51750 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 8GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 HD серебристый;56190 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 8GB DDR4 240GB SSD NVIDIA MX110 FHD DOS Silver;52360 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 8GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD серебристый;57490 сом;Уточняйте наличие
Ноутбук Lenovo IdeaPad Z570 4GB 500GB HDD;51060 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 12GB DDR4 240GB SSD NVIDIA MX110 FHD DOS Silver;54970 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 20GB DDR4 128GB SSD Nvidia Geforce MX330 2GB HD серый;80050 сом;Уточняйте наличие
Ноутбук Lenovo IdeaPad Z570 (6Gb DDR3, 1000Gb HDD);53136 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 8GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 HD серебристый;61400 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 20GB DDR4 256GB SSD Nvidia Geforce MX330 2GB HD серый;81780 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 20GB DDR4 512GB SSD Nvidia Geforce MX330 2GB HD серый;86120 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming AMD Ryzen 7 4800H 16GB DDR4 512GB SSD Nvidia GTX 1660Ti 4GB FHD серый;108200 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 4GB DDR4 500GB HDD NVIDIA MX110 DOS Silver;44020 сом;Уточняйте наличие
Ноутбук Apple MacBook Pro 13 (Late 2020) Apple M1 8/256GB серый космос;122760 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 500GB HDD NVIDIA MX110 DOS Silver;45320 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 4GB DDR4 1000GB HDD NVIDIA MX110 DOS Silver;44450 сом;Уточняйте наличие
Ноутбук Acer Extensa EX215-52-37SE Intel Core i3-1005G1 4GB DDR4 1000GB HDD FHD DOS Black;41920 сом;Уточняйте наличие
Ноутбук Lenovo ThinkPad E430c 4Gb DDR3 750Gb HDD;42254 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 1000GB HDD NVIDIA MX110 DOS Silver;45750 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 4GB DDR4 128GB SSD NVIDIA MX110 DOS Silver;44880 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 8GB DDR 1000GB HDD Intel HD Graphics 620 HD серебристый;53140 сом;Уточняйте наличие
Ноутбук Foxcon Intel Celeron N3450 8GB DDR3L 500GB HDD FHD серебристый;28310 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 4GB DDR 128GB SSD AMD Radeon Graphics HD черный;41830 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 128GB SSD NVIDIA MX110 DOS Silver;46190 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 8GB DDR 256GB SSD Intel HD Graphics 620 HD серебристый;54880 сом;Уточняйте наличие
Ноутбук Foxcon Intel Celeron N3450 8GB DDR3L 1000GB HDD FHD серебристый;28750 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 4GB DDR 256GB SSD AMD Radeon Graphics HD черный;42700 сом;Уточняйте наличие
Ноутбук Asus VivoBook S551LA-CJ111H 4Gb DDR3 750Gb HDD + 24Gb SSD;57050 сом;Уточняйте наличие
Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MWTL2) золотой;92460 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 4GB DDR4 256GB SSD NVIDIA MX110 DOS Silver;46190 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 8GB DDR 500GB HDD Intel HD Graphics 620 HD серебристый;52710 сом;Уточняйте наличие
Ноутбук HP ENVY x360 15-ee0047nr AMD Ryzen 5 4500U 16GB DDR4 512GB SSD AMD Radeon Vega 6 FHD черный;86980 сом;Уточняйте наличие
Ноутбук Foxcon Intel Celeron N3450 8GB DDR3L 128GB SSD FHD серебристый;28310 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 8GB DDR 128GB SSD AMD Radeon Graphics HD черный;44450 сом;Уточняйте наличие
Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MWTJ2) серый космос;92460 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 256GB SSD NVIDIA MX110 DOS Silver;47490 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 8GB DDR 512GB SSD Intel HD Graphics 620 HD серебристый;58790 сом;Уточняйте наличие
Ноутбук Foxcon Intel Celeron N3450 8GB DDR3L 256GB SSD FHD серебристый;29620 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 8GB DDR 256GB SSD AMD Radeon Graphics HD черный;45320 сом;Уточняйте наличие
Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MWTK2) серебристый;92460 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 4GB DDR4 500GB HDD + 128GB SSD NVIDIA MX110 DOS Silver;46620 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 120GB SSD Intel HD Graphics HD черный;37480 сом;Уточняйте наличие
Ноутбук Foxcon Intel Celeron N3450 8GB DDR3L 500GB HDD + 128GB SSD FHD серебристый;30500 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 8GB DDR 512GB SSD AMD Radeon Graphics HD черный;48800 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 20GB DDR4 1000GB HDD + 128GB SSD Nvidia Geforce MX330 2GB HD серый;83520 сом;Уточняйте наличие
Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MVH22) серый космос;109780 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 500GB HDD + 128GB SSD NVIDIA MX110 DOS Silver;47930 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 1000GB HDD Intel HD Graphics HD черный;37040 сом;Уточняйте наличие
Ноутбук Foxcon Intel Celeron N3450 8GB DDR3L 500GB HDD + 256GB SSD FHD серебристый;31810 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 128GB SSD AMD Radeon Graphics FHD серый;43140 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 20GB DDR4 1000GB HDD + 256GB SSD Nvidia Geforce MX330 2GB HD серый;84820 сом;Уточняйте наличие
Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MVH52) золотой;109780 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 500GB HDD + 256GB SSD NVIDIA MX110 DOS Silver;49230 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 240GB SSD Intel HD Graphics HD черный;38780 сом;Уточняйте наличие
Ноутбук Foxcon Intel Celeron N3450 8GB DDR3L 1000GB HDD + 128GB SSD FHD серебристый;30930 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 256GB SSD AMD Radeon Graphics FHD серый;44450 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 20GB DDR4 1000GB HDD + 512GB SSD Nvidia Geforce MX330 2GB HD серый;89160 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 1000GB HDD + 128GB SSD NVIDIA MX110 DOS Silver;48360 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 500GB HDD Intel HD Graphics HD черный;36600 сом;Уточняйте наличие
Ноутбук Foxcon Intel Celeron N3450 8GB DDR3L 1000GB HDD + 256GB SSD FHD серебристый;32240 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 8GB DDR 128GB SSD AMD Radeon Graphics FHD серый;45750 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 36GB DDR4 1000GB HDD + 512GB SSD Nvidia Geforce MX330 2GB HD серый;101270 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 1000GB HDD + 256GB SSD NVIDIA MX110 DOS Silver;49670 сом;Уточняйте наличие
Ноутбук Asus VivoBook F512DA-WH31 AMD Ryzen 3 3200U 4GB DDR4 128GB SSD AMD Radeon Vega 3 FHD серый;48190 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 8GB 120GB SSD Intel HD Graphics HD черный;39660 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15AST A6-9225 4GB DDR4 240GB SSD AMD Radeon R7 M445 2GB HD черный;40090 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 8GB 1000GB HDD Intel HD Graphics HD черный;39230 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15AST A6-9225 8GB DDR4 240GB SSD AMD Radeon R7 M445 2GB HD черный;42270 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 8GB 240GB SSD Intel HD Graphics HD черный;40960 сом;Уточняйте наличие
Ноутбук Foxcon Intel Core i5-5257U 8GB DDR3L 120GB SSD FHD серебристый;39660 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 5-3500U 4GB DDR 128GB SSD Radeon Vega 8 Graphics HD черный;49670 сом;Уточняйте наличие
Ноутбук Dell Inspiron 15 3593 Intel Core i7-1065G7 8GB DDR 512GB SSD Nvidia GeForce MX230 2GB FHD черный;65370 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 8GB 500GB HDD Intel HD Graphics HD черный;38780 сом;Уточняйте наличие
Ноутбук Foxcon Intel Core i5-5257U 8GB DDR3L 256GB SSD FHD серебристый;40960 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 5-3500U 4GB DDR 256GB SSD Radeon Vega 8 Graphics HD черный;47930 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IGM Intel Celeron N4100 4GB DDR 120GB SSD Intel HD Graphics HD черный;34000 сом;Уточняйте наличие
Ноутбук Foxcon Intel Core i5-5257U 8GB DDR3L 512GB SSD FHD серебристый;43570 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 5-3500U 8GB DDR 128GB SSD Radeon Vega 8 Graphics HD черный;48360 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IGM Intel Celeron N4100 4GB DDR 240GB SSD Intel HD Graphics HD черный;35300 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 5-3500U 8GB DDR 256GB SSD Radeon Vega 8 Graphics HD черный;48800 сом;Уточняйте наличие
Ноутбук Apple MacBook Pro 13 дисплей Retina с технологией True Tone Mid 2020 (MWP52) серый космос;170150 сом-4%164110 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IGM Intel Celeron N4100 4GB DDR 1000GB HDD Intel HD Graphics HD черный;33550 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 5-3500U 8GB DDR 512GB SSD Radeon Vega 8 Graphics HD черный;52710 сом;Уточняйте наличие
Ноутбук Haier A1400ED Intel Celeron N3350 4GB DDR4 64GB EMMC DOS Black;22580 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IGM Intel Celeron N4100 4GB DDR 500GB HDD Intel HD Graphics HD черный;33550 сом;Уточняйте наличие
Ноутбук Haier A1400EM Intel Celeron N3350 4GB DDR4 64GB EMMC W10 Grey;25140 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IGM Intel Celeron N4100 8GB DDR 120GB SSD Intel HD Graphics HD черный;36180 сом;Уточняйте наличие
Ноутбук Haier U1500EM Intel Celeron N4000 4GB DDR4 64GB EMMC W10 Grey;27170 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IGM Intel Celeron N4100 8GB DDR 1000GB HDD Intel HD Graphics HD черный;35730 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 4GB DDR 128GB SSD Intel HD Graphics 620 FHD синий;44020 сом;Уточняйте наличие
Ноутбук Haier U1500SM Intel Celeron N4000 4GB DDR4 128GB SSD + 64GB EMMC W10 Blue;33200 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IGM Intel Celeron N4100 8GB DDR 240GB SSD Intel HD Graphics HD черный;37480 сом;Уточняйте наличие
Ноутбук Haier U1500HD Intel Celeron N4000 4GB DDR4 1000GB HDD + 64GB EMMC DOS Black;30150 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IGM Intel Celeron N4100 8GB DDR 500GB HDD Intel HD Graphics HD черный;35300 сом;Уточняйте наличие
Ноутбук Haier U1500SD Intel Celeron N4000 4GB DDR4 128GB SSD + 64GB EMMC DOS Blue;27170 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 12GB DDR 128GB SSD Nvidia Geforce MX250 2GB FHD серебристый;68340 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD Intel HD Graphics 620 FHD синий;44450 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15AST A6-9225 8GB DDR4 1000GB HDD AMD Radeon R7 Full HD Black;40960 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 12GB DDR 1000GB HDD + 256GB SSD Nvidia Geforce MX250 2GB FHD серебристый;72690 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 FHD синий;46620 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 12GB DDR 1000GB HDD + 512GB SSD Nvidia Geforce MX250 2GB FHD серебристый;75720 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 FHD синий;47490 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15AST A6-9225 4GB DDR4 1000GB HDD AMD Radeon R7 Full HD Black;38780 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 12GB DDR 1000GB HDD Nvidia Geforce MX250 2GB FHD серебристый;67910 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 128GB SSD Intel HD Graphics 620 FHD синий;45320 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-8130U 8GB DDR 1000GB HDD + 128GB SSD Nvidia GeForce MX110 2GB HD черный;50970 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 12GB DDR 256GB SSD Nvidia Geforce MX250 2GB FHD серебристый;70080 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-8130U 8GB DDR 1000GB HDD + 256GB SSD Nvidia GeForce MX110 2GB HD черный;52270 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 20GB DDR 128GB SSD Nvidia Geforce MX250 2GB FHD серебристый;72690 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 20GB DDR 1000GB HDD + 256GB SSD Nvidia Geforce MX250 2GB FHD серебристый;77020 сом;Уточняйте наличие
Ноутбук Dell Gaming G5 15 5500 Intel Core i7-10750H 16GB DDR4 1000GB SSD Nvidia GeForce RTX2070 8GB FHD черный;171190 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 20GB DDR 1000GB HDD + 512GB SSD Nvidia Geforce MX250 2GB FHD серебристый;80050 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i5-8250U 20GB DDR 256Gb SSD Nvidia Geforce MX110 2GB Full HD Silver;75280 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 20GB DDR 1000GB HDD Nvidia Geforce MX250 2GB FHD серебристый;72250 сом;Уточняйте наличие
Ноутбук Asus X509JA-EJ062 Intel Core i3-1005G1 4GB DDR4 1000GB HDD FHD DOS Slate Gray;43840 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 12Gb DDR 128Gb SSD Nvidia Geforce MX110 2GB Full HD Silver;54100 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 20GB DDR 256GB SSD Nvidia Geforce MX250 2GB FHD серебристый;74420 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD Intel HD Graphics 620 FHD синий;45750 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 8GB DDR 128GB SSD Nvidia Geforce MX250 2GB FHD серебристый;66170 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 FHD синий;47930 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 8GB DDR 1000GB HDD + 256GB SSD Nvidia Geforce MX250 2GB FHD серебристый;70510 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 FHD синий;48800 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 8GB DDR 1000GB HDD + 512GB SSD Nvidia Geforce MX250 2GB FHD серебристый;73550 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 FHD синий;51850 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 6Gb DDR 1000Gb HDD Nvidia Geforce MX110 2GB Full HD Silver;48450 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 8GB DDR 1000GB HDD Nvidia Geforce MX250 2GB FHD серебристый;66610 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 6Gb DDR 500Gb HDD Nvidia Geforce MX110 2GB Full HD Silver;48110 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i5-10210U 8GB DDR 256GB SSD Nvidia Geforce MX250 2GB FHD серебристый;67910 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 6Gb DDR 128Gb SSD Nvidia Geforce MX110 2GB Full HD Silver;48980 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 6Gb DDR 240Gb SSD Nvidia Geforce MX110 2GB Full HD Silver;49750 сом;Уточняйте наличие
Ноутбук Apple MacBook Pro 16 with Retina display and Touch Bar Late 2019 (MVVK2) серый космос;240780 сом-1%238990 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 FHD синий;50100 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 FHD синий;51850 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 FHD синий;55750 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i5-8250U 6GB DDR4 240GB SSD NVIDIA MX110 FHD DOS серебристый;60960 сом;Уточняйте наличие
Ноутбук Apple MacBook Pro 13 дисплей Retina с технологией True Tone Mid 2020 (MXK52) серый космос;132190 сом-3%127940 сом;Уточняйте наличие
Ноутбук Asus X540UB-DM538 Intel Core i3-7020U 4GB DDR4 500GB HDD NVIDIA MX110 FHD DOS Black;46370 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i5-8250U 8GB DDR4 240GB SSD NVIDIA MX110 FHD DOS серебристый;62270 сом;Уточняйте наличие
Ноутбук Asus X540UB-DM538 Intel Core i3-7020U 4GB DDR4 240GB SSD NVIDIA MX110 FHD DOS Black;48190 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i5-8250U 12GB DDR4 240GB SSD NVIDIA MX110 FHD DOS серебристый;66610 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i5-8250U 20GB DDR4 240GB SSD NVIDIA MX110 FHD DOS серебристый;70950 сом;Уточняйте наличие
Ноутбук Apple MacBook Pro 13 дисплей Retina с технологией True Tone Mid 2020 (MWP42) серый космос;157230 сом-3%152900 сом;Уточняйте наличие
Ноутбук Asus X509UB-EJ028 Intel Core i3-7020U 4GB DDR3 1000GB HDD NVIDIA MX110 FHD DOS Grey;44020 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 8GB DDR 240GB SSD AMD Radeon Graphics FHD серый;47060 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 8GB DDR 480GB SSD AMD Radeon Graphics FHD серый;49670 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 120GB SSD Intel HD Graphics 620 HD серебристый;42530 сом;Уточняйте наличие
Ноутбук Apple MacBook Pro 13 дисплей Retina с технологией True Tone Mid 2020 (MXK32) серый космос;113260 сом-2%110620 сом;Уточняйте наличие
